population_group_name,measure_name,location_name,cause_name,metric_name,year,val,upper,lower
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Conflict and terrorism,Percent,2023,4.77E-05,5.59E-05,4.05E-05
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Self-harm by other specified means,Number,2023,72655.74296,78962.35592,66944.58209
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Self-harm by other specified means,Percent,2023,0.020521632,0.023939491,0.017567788
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Foreign body,Number,2023,13660.8023,15373.80276,12171.96669
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Foreign body,Percent,2023,0.003852077,0.004327543,0.003365464
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Pulmonary aspiration and foreign body in airway,Number,2023,11247.91291,12456.95088,10005.57974
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Pulmonary aspiration and foreign body in airway,Percent,2023,0.003177187,0.00371747,0.002677844
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Foreign body in eyes,Number,2023,1697.759521,2712.13162,1003.693101
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Foreign body in eyes,Percent,2023,0.000474484,0.000684547,0.000298156
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Foreign body in other body part,Number,2023,715.1298686,1024.177259,506.6593485
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Foreign body in other body part,Percent,2023,0.000200407,0.000261796,0.000155157
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Other unintentional injuries,Number,2023,11393.2292,16392.97427,7955.065509
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Other unintentional injuries,Percent,2023,0.003188483,0.004173393,0.002464838
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Self-harm and interpersonal violence,Number,2023,87095.61777,94141.50944,80608.74769
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Self-harm and interpersonal violence,Percent,2023,0.024592534,0.02831275,0.021172986
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Self-harm,Number,2023,77636.18463,84730.52356,71500.19492
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Self-harm,Percent,2023,0.021929061,0.025628642,0.018725227
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Self-harm by firearm,Number,2023,4980.441677,5934.26503,4214.415723
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Self-harm by firearm,Percent,2023,0.001407429,0.00173194,0.001126373
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Interpersonal violence,Number,2023,9285.555597,10808.76319,8159.928567
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Interpersonal violence,Percent,2023,0.002614413,0.002915674,0.002345061
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Physical violence by firearm,Number,2023,1476.490247,1737.991192,1240.045635
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Physical violence by firearm,Percent,2023,0.000416997,0.000506061,0.000335099
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Physical violence by sharp object,Number,2023,1769.910666,2099.030396,1508.218763
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Physical violence by sharp object,Percent,2023,0.000499034,0.000593201,0.000418023
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Physical violence by other means,Number,2023,5137.559669,6328.201583,4286.540015
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Physical violence by other means,Percent,2023,0.001443876,0.0016332,0.001291059
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Exposure to forces of nature,Number,2023,70.02994289,78.88093534,62.2943596
All Population,DALYs (Disability-Adjusted Life Years),Belgium,Exposure to forces of nature,Percent,2023,1.98E-05,2.34E-05,1.70E-05
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Poisonings,Number,2023,472864.7088,536986.1159,419053.725
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Poisonings,Percent,2023,0.000991117,0.001081781,0.000911282
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Poisoning by carbon monoxide,Number,2023,300319.1117,317661.3565,282317.3802
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Poisoning by carbon monoxide,Percent,2023,0.000631065,0.000704118,0.000557296
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Poisoning by other means,Number,2023,172545.597,227986.9499,123809.8546
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Poisoning by other means,Percent,2023,0.000360052,0.000439096,0.000286864
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Exposure to mechanical forces,Number,2023,2606230.288,3620296.168,1879354.633
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Exposure to mechanical forces,Percent,2023,0.005439912,0.007102915,0.004279336
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Interpersonal violence,Number,2023,3214614.254,3447756.474,2980864.089
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Interpersonal violence,Percent,2023,0.006748023,0.007391675,0.006172477
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Physical violence by firearm,Number,2023,1362203.505,1496267.671,1252190.076
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Physical violence by firearm,Percent,2023,0.002862783,0.003297051,0.002499438
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Physical violence by sharp object,Number,2023,459093.8355,505012.1773,415019.3709
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Physical violence by sharp object,Percent,2023,0.000963574,0.00106121,0.00085931
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Injuries,Number,2023,55900548.14,65744314.25,48246456.39
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Injuries,Percent,2023,0.117032373,0.127828031,0.107857499
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Transport injuries,Number,2023,8075081.8,8960005.518,7349928.91
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Transport injuries,Percent,2023,0.016929319,0.017855591,0.016043482
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Road injuries,Number,2023,7359095.193,8178140.682,6697699.758
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Road injuries,Percent,2023,0.015429335,0.01625604,0.01456824
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Pedestrian road injuries,Number,2023,1431362.671,1621789.115,1281791.497
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Pedestrian road injuries,Percent,2023,0.003001742,0.003310219,0.002764597
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Cyclist road injuries,Number,2023,526848.2987,653161.0666,426017.0272
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Cyclist road injuries,Percent,2023,0.001101615,0.001240387,0.000974901
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Motorcyclist road injuries,Number,2023,1116111.152,1258428.633,995786.9615
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Motorcyclist road injuries,Percent,2023,0.002339576,0.002532014,0.002178974
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Motor vehicle road injuries,Number,2023,4182993.367,4576992.696,3840319.364
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Motor vehicle road injuries,Percent,2023,0.008773672,0.009349051,0.008195732
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Other road injuries,Number,2023,101779.7051,125796.7796,81353.87252
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Other road injuries,Percent,2023,0.00021273,0.000245481,0.000189128
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Other transport injuries,Number,2023,715986.6063,834990.2194,627196.5992
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Other transport injuries,Percent,2023,0.001499984,0.001645166,0.001369697
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Unintentional injuries,Number,2023,32788275.72,41539923.62,26324675.75
